"Country","Day","Confirmed","Deaths","Recovered"
"Mexico",1,1,0,0
"Mexico",2,4,0,0
"Mexico",3,5,0,0
"Mexico",4,5,0,0
"Mexico",5,5,0,1
"Mexico",6,5,0,1
"Mexico",7,5,0,1
"Mexico",8,6,0,1
"Mexico",9,6,0,1
"Mexico",10,7,0,1
"Mexico",11,7,0,1
"Mexico",12,7,0,4
"Mexico",13,8,0,4
"Mexico",14,12,0,4
"Mexico",15,12,0,4
"Mexico",16,26,0,4
"Mexico",17,41,0,4
"Mexico",18,53,0,4
"Mexico",19,82,0,4
"Mexico",20,93,0,4
"Mexico",21,118,1,4
"Mexico",22,164,1,4
"Mexico",23,203,2,4
"Mexico",24,251,2,4
"Mexico",25,316,3,4
"Mexico",26,367,4,4
"Mexico",27,405,5,4
"Mexico",28,475,6,4
"Mexico",29,585,8,4
"Mexico",30,717,12,4
"Mexico",31,848,16,4
"Mexico",32,993,20,35
"Mexico",33,1094,28,35
"Mexico",34,1215,29,35
"Mexico",35,1378,37,35
"Mexico",36,1510,50,633
"Mexico",37,1688,60,633
"Mexico",38,1890,79,633
"Mexico",39,2143,94,633
"Mexico",40,2439,125,633
"Mexico",41,2785,141,633
"Mexico",42,3181,174,633
