"Country","Day","Confirmed","Deaths","Recovered"
"Oman",1,2,0,0
"Oman",2,2,0,0
"Oman",3,4,0,0
"Oman",4,4,0,0
"Oman",5,4,0,0
"Oman",6,6,0,1
"Oman",7,6,0,1
"Oman",8,6,0,1
"Oman",9,12,0,2
"Oman",10,15,0,2
"Oman",11,16,0,2
"Oman",12,16,0,2
"Oman",13,16,0,2
"Oman",14,16,0,2
"Oman",15,16,0,2
"Oman",16,18,0,9
"Oman",17,18,0,9
"Oman",18,18,0,9
"Oman",19,19,0,9
"Oman",20,19,0,9
"Oman",21,22,0,9
"Oman",22,22,0,9
"Oman",23,24,0,9
"Oman",24,39,0,12
"Oman",25,48,0,12
"Oman",26,48,0,12
"Oman",27,52,0,12
"Oman",28,55,0,17
"Oman",29,66,0,17
"Oman",30,84,0,17
"Oman",31,99,0,17
"Oman",32,109,0,23
"Oman",33,131,0,23
"Oman",34,152,0,23
"Oman",35,167,0,23
"Oman",36,179,0,29
"Oman",37,192,1,34
"Oman",38,210,1,34
"Oman",39,231,1,57
"Oman",40,252,1,57
"Oman",41,277,2,61
"Oman",42,298,2,61
"Oman",43,331,2,61
"Oman",44,371,2,67
"Oman",45,419,2,72
"Oman",46,457,3,109
